X_cen,Y_cen,Stream_Dis
92.875,26.625,1451.783518
93.125,26.625,2048.124595
93.375,26.625,8844.151276
93.625,26.625,9668.391281
93.875,26.625,4993.287632
94.125,26.625,22347.44013
94.375,26.625,31504.97868
94.625,26.625,42659.17558
94.875,26.625,56011.87342
95.125,26.625,70489.36228
95.375,26.625,56741.65754
88.125,26.875,32307.1621
88.375,26.875,9165.870746
88.625,26.875,10981.19563
88.875,26.875,27791.82402
89.125,26.875,44965.6084
89.375,26.875,51121.6943
89.625,26.875,28429.00677
90.125,26.875,9335.312739
90.375,26.875,31462.49232
90.625,26.875,24926.80305
90.875,26.875,3582.783273
91.125,26.875,689.6546715
91.375,26.875,20167.06153
91.625,26.875,36347.33304
91.875,26.875,57294.66249
92.125,26.875,45520.25637
92.375,26.875,29608.02356
92.625,26.875,15321.49111
92.875,26.875,1858.782876
93.125,26.875,24252.85909
93.375,26.875,12890.10983
93.625,26.875,15455.60885
93.875,26.875,2018.854727
94.125,26.875,155.2277332
94.375,26.875,7360.456683
94.625,26.875,19223.30005
94.875,26.875,37660.72277
95.125,26.875,57763.73546
95.375,26.875,75551.7832
95.625,26.875,78278.67351
95.875,26.875,81125.64116
88.125,27.125,31032.4427
88.375,27.125,8384.084226
88.625,27.125,10106.16823
88.875,27.125,34568.669
92.125,27.125,46923.58563
92.375,27.125,22460.91245
92.625,27.125,1146.301396
92.875,27.125,7125.175853
93.125,27.125,22951.79649
93.375,27.125,40384.09863
93.625,27.125,38925.41035
93.875,27.125,21315.00241
94.125,27.125,5081.68478
94.375,27.125,14112.89183
94.625,27.125,6212.973835
94.875,27.125,20833.53311
95.125,27.125,39654.00502
95.375,27.125,51235.30225
95.625,27.125,58068.40693
95.875,27.125,70512.3005
96.125,27.125,77084.2688
96.875,27.125,72815.4801
97.125,27.125,48067.08672
88.125,27.375,45584.05511
88.375,27.375,28917.77418
88.625,27.375,26386.31348
88.875,27.375,42266.92008
91.625,27.375,6408.84201
91.875,27.375,23182.36989
92.125,27.375,45680.62546
92.375,27.375,35473.99407
92.625,27.375,23700.21876
92.875,27.375,15098.09036
93.125,27.375,26423.31548
93.375,27.375,48909.84291
93.625,27.375,56823.47124
93.875,27.375,36382.60493
94.125,27.375,13552.842
94.375,27.375,9507.60998
94.625,27.375,11351.82342
94.875,27.375,10551.19333
95.125,27.375,19552.76883
95.375,27.375,24460.1158
95.625,27.375,33681.81433
95.875,27.375,43058.99524
96.125,27.375,51324.66799
96.375,27.375,55371.53181
96.625,27.375,59828.73464
96.875,27.375,55712.93261
97.125,27.375,52460.94634
88.125,27.625,65880.76473
88.375,27.625,54511.60821
88.625,27.625,53209.53353
88.875,27.625,62597.86148
91.625,27.625,15496.63147
91.875,27.625,23821.52276
92.125,27.625,45970.24162
92.375,27.625,58275.9388
92.625,27.625,49492.39096
92.875,27.625,42612.08287
93.125,27.625,47801.33472
93.375,27.625,59696.41532
93.625,27.625,37429.04506
93.875,27.625,19721.98827
94.125,27.625,9234.376216
94.375,27.625,8914.902731
94.625,27.625,25447.36542
94.875,27.625,8326.464339
95.125,27.625,1956.294489
95.375,27.625,1788.676578
95.625,27.625,15116.51563
95.875,27.625,16502.00521
96.125,27.625,23786.37772
96.375,27.625,27641.9263
96.625,27.625,35360.18327
96.875,27.625,27984.56224
97.125,27.625,34595.25731
88.125,27.875,40971.4338
88.375,27.875,56591.02727
88.625,27.875,77068.5529
88.875,27.875,87126.99785
91.625,27.875,42489.60105
91.875,27.875,46171.49315
92.125,27.875,60613.40253
92.375,27.875,60063.64528
92.625,27.875,48169.27381
92.875,27.875,46194.4222
93.125,27.875,53382.96161
93.375,27.875,56642.91089
93.625,27.875,32413.17145
93.875,27.875,10238.35223
94.125,27.875,11716.03446
94.375,27.875,4467.445728
94.625,27.875,26961.93085
94.875,27.875,35743.93756
95.125,27.875,20718.94403
95.375,27.875,3204.583975
95.625,27.875,1054.529209
95.875,27.875,8733.294202
96.125,27.875,3058.345091
96.375,27.875,51.88235699
96.625,27.875,10084.96641
96.875,27.875,255.6502676
97.125,27.875,16304.77633
88.375,28.125,44073.82059
88.625,28.125,68363.13315
88.875,28.125,92811.07533
92.625,28.125,23260.79562
92.875,28.125,18960.78565
93.125,28.125,27957.81347
93.375,28.125,35183.68614
93.625,28.125,31996.82742
93.875,28.125,27208.35726
94.125,28.125,4166.077698
94.375,28.125,18653.58265
94.625,28.125,37760.15544
94.875,28.125,15692.85881
95.125,28.125,1173.604347
95.375,28.125,5779.322009
95.625,28.125,4818.283171
95.875,28.125,18771.75603
96.125,28.125,28160.54403
96.375,28.125,11407.83184
96.625,28.125,8389.164081
96.875,28.125,12736.57635
97.125,28.125,8918.205564
97.375,28.125,32262.44544
92.875,28.375,5699.918653
93.125,28.375,4641.405453
93.375,28.375,8449.187878
93.625,28.375,4454.042543
93.875,28.375,1449.493067
94.125,28.375,8204.546426
94.375,28.375,25998.62621
94.625,28.375,35541.30649
94.875,28.375,13069.26019
95.125,28.375,3903.962372
95.375,28.375,26376.73031
95.625,28.375,12996.62799
95.875,28.375,9843.633787
96.125,28.375,32167.50973
96.375,28.375,35541.78927
96.625,28.375,34136.65815
96.875,28.375,14665.61901
97.125,28.375,7821.365731
97.375,28.375,29864.70293
93.375,28.625,19246.9453
93.625,28.625,23182.55505
93.875,28.625,24094.66589
94.125,28.625,29769.3936
94.375,28.625,43400.59733
94.625,28.625,27142.32744
94.875,28.625,11921.81346
95.125,28.625,7488.231176
95.375,28.625,29762.5098
95.625,28.625,21515.09574
95.875,28.625,2035.720233
96.125,28.625,25382.14957
96.375,28.625,40282.29155
96.625,28.625,22936.71207
93.875,28.875,27035.79881
94.125,28.875,35393.5295
94.375,28.875,39299.70676
94.625,28.875,15615.08121
94.875,28.875,6647.706536
95.125,28.875,20869.15732
95.375,28.875,42911.36426
95.625,28.875,37823.96651
95.875,28.875,29585.9337
96.125,28.875,38910.98049
96.375,28.875,27712.811
96.625,28.875,4998.357874
94.125,29.125,7692.821342
94.375,29.125,16217.85707
94.625,29.125,28849.51448
94.875,29.125,8205.746386
95.125,29.125,9261.531988
95.375,29.125,31877.9475
95.625,29.125,51412.31006
95.875,29.125,57304.63683
96.125,29.125,52123.8423
96.375,29.125,29924.2133
96.625,29.125,16173.96227
94.625,29.375,9655.503072
94.875,29.375,10178.45813
95.625,29.375,42891.81867
95.875,29.375,67092.52773
96.125,29.375,66151.94275
96.375,29.375,50590.42546
